Text,Types,Sentences,Lines,maxlen,avglen
en_US.blogs.txt,482432,2072941,899288,40833,229.9869507877343
en_US.news.txt,431664,1867522,1010242,11384,201.1628490995227
en_US.twitter.txt,566951,2588551,2360148,140,68.6804518191232
