x,y
                                                                                                                                                @}-;-'---                                                                                                                                                ,eerose
                                                                                                                                                @}->--                                                                                                                                                ,eerose
                                                                                                                                                @};-                                                                                                                                                ,eerose
                                                                                                                                                B^D                                                                                                                                                ,eelaughing
                                                                                                                                                D-':                                                                                                                                                ,eehorror
                                                                                                                                                D8                                                                                                                                                ,eehorror
                                                                                                                                                D:                                                                                                                                                ,eehorror
                                                                                                                                                D:<                                                                                                                                                ,eehorror
                                                                                                                                                D;                                                                                                                                                ,eehorror
                                                                                                                                                D=                                                                                                                                                ,eehorror
                                                                                                                                                DX                                                                                                                                                ,eehorror
                                                                                                                                                O-O                                                                                                                                                ,eesurprise
                                                                                                                                                O:)                                                                                                                                                ,eeangel
                                                                                                                                                O:-)                                                                                                                                                ,eeangel
                                                                                                                                                O_O                                                                                                                                                ,eesurprise
                                                                                                                                                O_o                                                                                                                                                ,eesurprise
                                                                                                                                                X-D                                                                                                                                                ,eelaughing
                                                                                                                                                X-P                                                                                                                                                ,eetonguestickingout
                                                                                                                                                XD                                                                                                                                                ,eelaughing
                                                                                                                                                XP                                                                                                                                                ,eetonguestickingout
                                                                                                                                                \o/                                                                                                                                                ,eecheer
                                                                                                                                                d:                                                                                                                                                ,eetonguestickingout
                                                                                                                                                o-o                                                                                                                                                ,eesurprise
                                                                                                                                                o_O                                                                                                                                                ,eesurprise
                                                                                                                                                o_o                                                                                                                                                ,eesurprise
                                                                                                                                                x-D                                                                                                                                                ,eelaughing
                                                                                                                                                x-p                                                                                                                                                ,eetonguestickingout
                                                                                                                                                xD                                                                                                                                                ,eelaughing
                                                                                                                                                xp                                                                                                                                                ,eetonguestickingout
                                                                                                                                                |-O                                                                                                                                                ,eecool
                                                                                                                                                |;-)                                                                                                                                                ,eecool
                                                                                                                                                }:)                                                                                                                                                ,eedevilish
                                                                                                                                                }:-)                                                                                                                                                ,eedevilish
                                                                                                                                                ~(_8^(I)                                                                                                                                                ,eehomersimpson
