tren_US.blogs.txt,tren_US.news.txt,tren_US.twitter.txt,total,type
5,6,6,17,eetonguestickingout
0,2,13,15,eesmiley
0,0,4,4,eeheart
0,0,4,4,eewink
0,0,2,2,eefrown
0,0,1,1,eelaughing
0,0,1,1,eeskeptical
